,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,Gat,SN,0,1551308400,52,14.69,-16.54,68.0,10.29
87,Castro,CL,8,1551308400,67,-42.48,-73.76,60.8,5.82
88,Marfino,RU,40,1551310851,74,56.07,37.56,30.99,13.42
89,Aginskoye,RU,0,1551311207,52,51.11,114.54,8.88,5.97
90,Kiryu,JP,92,1551311105,81,36.41,139.33,41.0,4.0
91,Sorong,ID,48,1551311208,100,-0.86,131.25,81.6,8.99
92,Esperance,TT,20,1551309907,88,10.24,-61.45,78.01,5.82
93,Maceio,BR,20,1551308400,83,-9.67,-35.74,78.8,5.82
94,Guerrero Negro,MX,0,1551311209,60,27.97,-114.04,63.64,13.8
95,Pisco,PE,0,1551308400,30,-13.71,-76.2,71.6,20.8
96,Porto Velho,BR,80,1551311210,98,-8.75,-63.87,72.87,2.39
97,Dalvik,SE,0,1551311176,93,57.79,14.13,37.99,4.7
98,Jaynagar-Majilpur,IN,90,1551308400,93,22.18,88.42,66.2,8.05
